date,tic,popularity
2004-09-01,UNH,0.01
2004-09-01,UNP,0.0
2004-09-01,UPS,0.3
2004-09-01,USB,0.92
2004-09-01,V,0.43
2004-09-01,VZ,0.0
2004-09-01,WFC,0.0
2004-09-01,WMT,0.0
2004-09-01,XOM,0.0
2004-10-01,AAPL,0.08
2004-10-01,ABBV,0.0
2004-10-01,ABT,0.41
2004-10-01,ACN,0.3
2004-10-01,ADBE,0.04
2004-10-01,AIG,0.14
2004-10-01,AMD,1.0
2004-10-01,AMGN,0.0
2004-10-01,AMT,0.22
2004-10-01,AMZN,0.0
2004-10-01,AVGO,0.0
2004-10-01,AXP,0.0
2004-10-01,BA,0.3
2004-10-01,BAC,0.15
2004-10-01,BK,0.06
2004-10-01,BKNG,0.0
2004-10-01,BLK,0.0
2004-10-01,BMY,0.0
2004-10-01,BRK-B,0.0
2004-10-01,C,0.86
2004-10-01,CAT,0.57
2004-10-01,CHTR,0.0
